Vivado Simulator 2018.3
Time resolution is 1 ps
Input 1 is 0, input 2 is 0, sum output is 0, carry output 0
Input 1 is 0, input 2 is 1, sum output is 1, carry output 0
Input 1 is 0, input 2 is 1, sum output is 1, carry output 0
Input 1 is 1, input 2 is 1, sum output is 0, carry output 1
Input 1 is 1, input 2 is 0, sum output is 1, carry output 0
Input 1 is 1, input 2 is 1, sum output is 0, carry output 1
subtraction: Input 1 is   0, input 2 is  28, sum output is  28, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  27, sum output is  27, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  26, sum output is  26, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  25, sum output is  25, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  24, sum output is  24, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  23, sum output is  23, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  22, sum output is  22, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  21, sum output is  21, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  20, sum output is  20, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  19, sum output is  19, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  18, sum output is  18, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  17, sum output is  17, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  16, sum output is  16, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  15, sum output is  15, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  14, sum output is  14, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  13, sum output is  13, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  12, sum output is  12, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  11, sum output is  11, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  10, sum output is  10, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is   9, sum output is   9, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is   8, sum output is   8, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is   7, sum output is   7, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is   6, sum output is   6, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is   5, sum output is   5, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is   4, sum output is   4, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is   3, sum output is   3, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is   2, sum output is   2, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is   1, sum output is   1, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is   0, sum output is   0, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  -1, sum output is  -1, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  -2, sum output is  -2, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  -3, sum output is  -3, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  -4, sum output is  -4, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  -5, sum output is  -5, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  -6, sum output is  -6, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  -7, sum output is  -7, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  -8, sum output is  -8, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is  -9, sum output is  -9, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -10, sum output is -10, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -11, sum output is -11, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -12, sum output is -12, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -13, sum output is -13, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -14, sum output is -14, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -15, sum output is -15, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -16, sum output is -16, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -17, sum output is -17, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -18, sum output is -18, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -19, sum output is -19, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -20, sum output is -20, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -21, sum output is -21, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -22, sum output is -22, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -23, sum output is -23, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -24, sum output is -24, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -25, sum output is -25, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -26, sum output is -26, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -27, sum output is -27, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -28, sum output is -28, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -29, sum output is -29, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -30, sum output is -30, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -31, sum output is -31, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   0, input 2 is -32, sum output is -32, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  31, sum output is -32, carry output  31, overflow is 1
Error Ocurred for subtraction: Input 1 is   1, input 2 is  30, sum output is  31, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  29, sum output is  30, carry output   1, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  28, sum output is  29, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  27, sum output is  28, carry output   3, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  26, sum output is  27, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  25, sum output is  26, carry output   1, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  24, sum output is  25, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  23, sum output is  24, carry output   7, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  22, sum output is  23, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  21, sum output is  22, carry output   1, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  20, sum output is  21, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  19, sum output is  20, carry output   3, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  18, sum output is  19, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  17, sum output is  18, carry output   1, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  16, sum output is  17, carry output   0, overflow is 0
Error Ocurred for subtraction: Input 1 is   1, input 2 is  15, sum output is  16, carry output  15, overflow is 0
